Feature,RF_Importance,F_Score
"('chroma_stft', 'skew.10')",0.0015059667652134645,2496.915033914488
"('spectral_contrast', 'max.5')",0.0015059166898802078,1498.9005435997585
"('chroma_stft', 'std.1')",0.0015056334593444983,1558.077398809177
"('mfcc', 'max.9')",0.0015013434273679412,4463.014023537632
"('chroma_cens', 'std.6')",0.0014998320282324092,1915.0721106412623
"('spectral_contrast', 'kurtosis.4')",0.0014938782015321054,984.9342513156167
"('chroma_stft', 'median.8')",0.0014903831378993836,4055.8209875634925
"('tonnetz', 'mean.4')",0.0014884350319342968,1575.8822909627095
"('chroma_cqt', 'std')",0.001487811091224895,807.9881846498466
"('tonnetz', 'max.1')",0.001476706607049159,1153.7177373214804
"('tonnetz', 'max.4')",0.0014643680411652784,1604.0917667735448
"('chroma_cens', 'max.10')",0.0014640799891946499,1720.9733911754054
"('spectral_contrast', 'max.3')",0.0014635670627280398,1666.2698866943413
"('chroma_cens', 'std.5')",0.0014631726643329764,1721.5121841793919
"('chroma_stft', 'skew.2')",0.0014582875057130842,2786.0147199998346
"('chroma_cqt', 'std.4')",0.0014546013473597363,1037.7526970306724
"('spectral_contrast', 'min.2')",0.0014533921770472687,2542.820215606801
"('chroma_stft', 'median.5')",0.0014469105201088666,4401.7326585341
"('chroma_cens', 'max.11')",0.0014446164714428508,1565.3780914896302
"('mfcc', 'min.14')",0.0014420934724849515,2382.2987032745564
"('mfcc', 'kurtosis.13')",0.001438600989165166,706.202731559522
"('chroma_stft', 'mean.11')",0.0014309468713627628,3674.8750533712514
"('mfcc', 'skew.8')",0.0014269079520336763,1275.0404892937433
"('tonnetz', 'kurtosis.1')",0.001426549558789041,368.14133623407463
"('chroma_cqt', 'kurtosis.9')",0.0014243894899253048,161.30771347314024
"('tonnetz', 'min.5')",0.0014243427018852987,1805.2863779706477
"('tonnetz', 'median.1')",0.0014206095092325211,1160.2733228032266
"('chroma_cens', 'kurtosis.6')",0.0014114426284349772,4899.345769557832
"('chroma_stft', 'mean.1')",0.001402548153779039,4305.60362282552
"('mfcc', 'kurtosis.12')",0.0014013659660992888,474.2263602612972
"('chroma_stft', 'kurtosis.8')",0.0013983594439954939,120.3817246801933
"('chroma_cens', 'kurtosis.10')",0.0013949198276357125,14.931620319550403
"('chroma_cens', 'max.1')",0.0013897263012579483,1533.2369756777146
"('mfcc', 'kurtosis.14')",0.0013886340947133686,684.7381066323944
"('mfcc', 'skew.5')",0.0013885219667652104,1153.450250169773
"('chroma_cens', 'max.8')",0.0013806516039076202,1242.5681273406842
"('chroma_stft', 'mean.5')",0.0013792775294212752,3904.394880485084
"('mfcc', 'skew.12')",0.0013772895550704725,557.3941570359657
"('mfcc', 'min.12')",0.0013753369766475957,2043.376397534804
"('chroma_stft', 'mean.10')",0.0013731662750998226,3492.217849930239
"('spectral_contrast', 'min')",0.0013719816817509955,1144.742848980711
"('mfcc', 'min.11')",0.0013709541532490378,1948.2081566192992
"('chroma_stft', 'std.11')",0.0013702943711603425,1151.6140099083673
"('tonnetz', 'min.4')",0.0013672588210924472,1861.0879721317626
"('chroma_cens', 'max.7')",0.0013643854595485902,2263.426492133832
"('chroma_cens', 'std.3')",0.001363989195814082,1723.0928147995483
"('tonnetz', 'kurtosis.3')",0.0013631127604160423,1590.0314169272083
"('chroma_cens', 'std')",0.0013626188120981946,2244.6674480395345
"('chroma_stft', 'mean')",0.0013589214382638418,3745.135205793964
"('chroma_stft', 'skew.6')",0.001354358078878728,3811.8582853326006
"('mfcc', 'skew.18')",0.0013533458245726018,924.5707447860447
"('mfcc', 'kurtosis.6')",0.0013458663925866993,315.43356383088894
"('chroma_stft', 'skew.3')",0.0013457100988772052,3573.7885817339175
"('mfcc', 'skew.15')",0.001344815017087677,928.8307720949092
"('chroma_stft', 'median.3')",0.0013433895283538361,4383.156485917309
"('mfcc', 'min.16')",0.0013320265013995456,1485.3826565567429
